season,hour,no_trips
Autumn,0,223568
Autumn,1,123608
Autumn,2,71720
Autumn,3,44108
Autumn,4,46452
Autumn,5,156136
Autumn,6,568084
Autumn,7,1247744
Autumn,8,2192820
Autumn,9,1660175
Autumn,10,1100488
Autumn,11,1113910
Autumn,12,1295708
Autumn,13,1342857
Autumn,14,1384555
Autumn,15,1466604
Autumn,16,1750220
Autumn,17,2501626
Autumn,18,2366125
Autumn,19,1578373
Autumn,20,1055056
Autumn,21,759745
Autumn,22,564923
Autumn,23,377185
Spring,0,146061
Spring,1,77974
Spring,2,43366
Spring,3,28782
Spring,4,30687
Spring,5,112428
Spring,6,413278
Spring,7,876532
Spring,8,1567662
Spring,9,1232145
Spring,10,834884
Spring,11,869483
Spring,12,1028658
Spring,13,1103687
Spring,14,1160876
Spring,15,1231908
Spring,16,1445396
Spring,17,2023799
Spring,18,1928415
Spring,19,1307996
Spring,20,825603
Spring,21,546182
Spring,22,398028
Spring,23,262974
Summer,0,283974
Summer,1,155606
Summer,2,90374
Summer,3,55413
Summer,4,53533
Summer,5,175395
Summer,6,638726
Summer,7,1270485
Summer,8,2188042
Summer,9,1771342
Summer,10,1220929
Summer,11,1266410
Summer,12,1452691
Summer,13,1521651
Summer,14,1537539
Summer,15,1629727
Summer,16,1962816
Summer,17,2832825
Summer,18,2799340
Summer,19,2088301
Summer,20,1461719
Summer,21,996618
Summer,22,742601
Summer,23,493567
Winter,0,105585
Winter,1,58941
Winter,2,34905
Winter,3,21947
Winter,4,25602
Winter,5,93991
Winter,6,317007
Winter,7,673456
Winter,8,1221397
Winter,9,932422
Winter,10,605647
Winter,11,608344
Winter,12,695954
Winter,13,727776
Winter,14,758201
Winter,15,798858
Winter,16,923051
Winter,17,1259795
Winter,18,1159458
Winter,19,777316
Winter,20,515652
Winter,21,363277
Winter,22,273058
Winter,23,176465
