period,real_period,user_type,gender,no_trips
201306,1st yr Jun 2013 - May 2014,Subscriber,Female,69199
201306,1st yr Jun 2013 - May 2014,Subscriber,Male,245746
201307,1st yr Jun 2013 - May 2014,Subscriber,Female,153603
201307,1st yr Jun 2013 - May 2014,Subscriber,Male,492685
201308,1st yr Jun 2013 - May 2014,Subscriber,Female,194554
201308,1st yr Jun 2013 - May 2014,Subscriber,Male,593907
201309,1st yr Jun 2013 - May 2014,Subscriber,Female,214516
201309,1st yr Jun 2013 - May 2014,Subscriber,Male,643529
201310,1st yr Jun 2013 - May 2014,Subscriber,Female,220470
201310,1st yr Jun 2013 - May 2014,Subscriber,Male,684956
201311,1st yr Jun 2013 - May 2014,Customer,Male,1
201311,1st yr Jun 2013 - May 2014,Subscriber,Female,140275
201311,1st yr Jun 2013 - May 2014,Subscriber,Male,464101
201312,1st yr Jun 2013 - May 2014,Subscriber,Female,86218
201312,1st yr Jun 2013 - May 2014,Subscriber,Male,318662
201401,1st yr Jun 2013 - May 2014,Subscriber,Female,55094
201401,1st yr Jun 2013 - May 2014,Subscriber,Male,223888
201402,1st yr Jun 2013 - May 2014,Subscriber,Female,40290
201402,1st yr Jun 2013 - May 2014,Subscriber,Male,168816
201403,1st yr Jun 2013 - May 2014,Subscriber,Female,82948
201403,1st yr Jun 2013 - May 2014,Subscriber,Male,313785
201404,1st yr Jun 2013 - May 2014,Subscriber,Female,130868
201404,1st yr Jun 2013 - May 2014,Subscriber,Male,453386
201405,1st yr Jun 2013 - May 2014,Customer,Female,2
201405,1st yr Jun 2013 - May 2014,Customer,Male,1
201405,1st yr Jun 2013 - May 2014,Subscriber,Female,170521
201405,1st yr Jun 2013 - May 2014,Subscriber,Male,560393
201406,2nd yr Jun 2014 - May 2015,Customer,Female,7
201406,2nd yr Jun 2014 - May 2015,Subscriber,Female,193082
201406,2nd yr Jun 2014 - May 2015,Subscriber,Male,597230
201407,2nd yr Jun 2014 - May 2015,Customer,Female,3
201407,2nd yr Jun 2014 - May 2015,Customer,Male,9
201407,2nd yr Jun 2014 - May 2015,Subscriber,Female,197433
