period,end_station_id,no_trips
201909,519,15775
201910,519,15481
201908,519,15369
201907,519,15121
201909,426,14025
201909,285,13868
201906,519,13858
201909,497,13421
201908,497,13133
201909,3255,12637
201908,426,12281
201909,402,12247
201910,3255,12186
201909,435,12134
201908,3255,12014
201906,426,11938
201908,435,11655
201908,402,11591
201906,402,11574
201908,514,11552
201910,402,11512
201909,358,11506
201907,3255,11472
201910,435,11448
201909,514,11427
201907,497,11421
201907,426,11365
201910,497,11359
201907,402,11295
201908,285,11271
201906,514,11220
201906,3255,11102
201907,514,11053
201911,519,11023
201910,426,10745
201909,293,10678
201908,358,10674
201908,459,10314
201909,490,10308
201907,435,10251
201909,499,10170
201909,459,10145
201907,358,10122
201908,293,10091
201906,358,9794
201910,285,9758
202001,519,9704
201908,491,9679
201906,492,9641
201910,490,9612
201906,285,9607
201906,497,9571
201908,499,9513
201906,499,9428
201908,151,9363
201907,459,9342
201907,285,9328
201909,151,9276
201910,358,9228
201910,293,9185
201909,3641,9160
201909,491,9160
201909,3263,9138
201909,505,9106
201909,168,9083
201909,284,9064
201908,477,9061
201909,477,9050
201906,168,9047
201909,3664,9033
201909,3435,9019
201910,465,9011
201907,499,8948
201908,3002,8939
201906,459,8903
201909,504,8865
201909,3002,8807
201909,523,8800
201909,379,8796
201908,168,8793
201908,490,8771
201911,497,8768
201908,505,8759
201910,505,8747
201910,459,8704
201910,514,8702
201910,379,8689
201908,368,8629
201910,477,8599
201911,402,8594
201906,3002,8589
201909,465,8547
201910,359,8520
201911,435,8474
201908,3435,8453
201910,491,8451
201906,368,8451
201910,499,8439
201908,523,8419
201909,359,8394
201909,229,8373
201910,3641,8354
201907,477,8352
201909,3711,8328
201909,327,8324
201907,505,8309
201908,3664,8300
201911,3255,8295
201908,284,8292
201910,523,8276
201909,116,8265
201909,405,8239
202002,519,8233
201907,3002,8220
201909,525,8219
201908,3641,8200
201907,491,8147
201906,379,8141
201907,368,8128
202001,3255,8126
202005,514,8112
201907,3664,8094
201908,379,8080
201910,284,8035
201907,490,8029
201907,523,8025
201908,3711,8001
201908,504,8000
201909,458,7963
201910,3812,7962
201907,382,7953
201908,327,7940
201909,482,7930
201907,293,7910
201906,462,7899
201908,229,7893
201907,462,7873
201909,128,7871
201908,525,7868
201906,486,7862
201906,293,7847
201909,496,7802
201908,3263,7783
201909,445,7780
201907,504,7773
201910,3664,7743
201908,359,7731
201907,379,7724
201909,489,7714
201910,3711,7710
201907,151,7695
201909,438,7694
201907,168,7692
201909,446,7685
201907,492,7661
201908,465,7660
201907,465,7652
201907,3641,7644
202001,402,7639
201908,3256,7638
201909,462,7635
201910,3263,7627
201910,151,7603
202005,426,7595
201908,492,7576
201906,504,7541
201910,458,7520
201907,3263,7516
201906,151,7516
201910,3435,7507
201906,477,7493
201906,523,7483
201907,3711,7476
201908,128,7432
201907,284,7424
201909,442,7417
201906,382,7398
201908,405,7391
201906,491,7383
201910,504,7379
202001,497,7355
201910,168,7342
201910,442,7339
201909,468,7335
201908,116,7331
201907,3435,7329
201906,445,7327
201910,446,7320
201911,505,7314
201907,327,7297
201909,347,7288
201907,359,7273
202001,435,7264
201909,3707,7261
201906,284,7246
201906,3435,7235
201906,405,7231
201910,468,7230
201907,281,7224
201911,285,7224
201907,229,7215
201907,3256,7186
201909,380,7185
201908,482,7181
201909,297,7177
201906,3263,7174
201906,3664,7173
201908,458,7165
201907,445,7149
201908,446,7148
201910,229,7132
201908,489,7131
201910,482,7131
201906,327,7126
201907,453,7099
201906,453,7094
201912,519,7093
201909,127,7071
201909,3256,7069
201910,116,7045
202005,3141,7029
201907,525,7026
201909,2006,7022
201909,3708,7021
201909,518,7020
201910,489,7015
201908,445,6999
201909,507,6987
201906,3711,6981
201908,496,6956
201910,496,6953
201911,465,6946
202002,3255,6931
201909,3686,6917
201906,229,6917
201911,379,6911
201908,347,6906
201908,501,6889
201909,432,6877
201907,116,6866
201909,312,6862
201906,3256,6860
201906,3641,6857
201906,458,6850
201908,438,6841
201910,525,6841
201911,490,6838
201908,312,6829
201908,468,6800
201907,128,6789
201906,128,6787
201909,501,6784
201908,281,6781
201907,405,6778
201909,509,6772
201910,3707,6767
201910,486,6762
201909,479,6734
201910,3002,6724
201910,128,6716
201906,490,6697
201906,2006,6690
201909,250,6683
201909,472,6682
201908,2006,6678
201909,486,6677
201909,301,6662
201907,486,6656
201910,445,6650
201907,347,6648
201906,359,6630
201909,161,6629
201909,223,6628
201907,312,6617
201908,462,6615
201909,461,6611
201908,432,6602
202002,402,6599
201909,439,6584
202002,435,6578
201909,3233,6577
201909,173,6564
201909,3687,6553
201908,380,6548
201908,486,6542
201908,472,6524
201909,494,6499
201906,438,6490
201907,446,6485
201911,359,6483
201909,3141,6480
201910,327,6479
201906,525,6475
201907,3443,6468
201906,312,6468
201909,3467,6463
202002,497,6463
201909,307,6462
201910,438,6435
201911,293,6432
201907,438,6428
202005,499,6426
201908,3233,6422
201910,281,6415
201907,458,6411
201910,472,6406
201909,466,6401
201908,173,6373
201907,501,6365
201910,3233,6364
201911,491,6362
201910,462,6362
201911,3812,6360
201906,466,6352
201906,446,6346
201907,3459,6345
201911,426,6340
201910,297,6339
202005,3256,6330
201908,251,6320
201906,472,6318
201907,2006,6311
201906,465,6289
201909,377,6285
201909,3244,6285
201907,489,6276
