period,start_station_id,no_trips
201909,519,15833
201910,519,15409
201907,519,15325
201908,519,15301
201906,519,13911
201909,285,13468
201909,497,13163
201909,3255,12788
201908,497,12522
201909,426,12350
201910,3255,12186
201909,435,12146
201908,3255,11973
201909,358,11711
201908,426,11632
201907,3255,11631
201908,435,11619
201910,435,11456
201906,426,11408
201908,514,11390
201906,514,11320
201908,285,11268
201909,514,11199
201906,3255,11191
201910,497,11129
201907,497,11122
201911,519,11099
201909,402,11079
201906,402,11029
201908,358,10836
201907,514,10787
201907,426,10785
201907,402,10774
201909,499,10513
202001,519,10403
201907,358,10343
201907,435,10300
201908,402,10263
201909,490,10258
201909,459,10107
201908,499,10067
201908,491,9967
201908,459,9954
201910,402,9937
201906,358,9931
201906,499,9922
201906,492,9857
201909,293,9851
201910,490,9699
201908,293,9695
201907,499,9596
201906,497,9551
201906,285,9543
201910,285,9475
201909,3641,9437
201910,358,9364
201907,285,9316
201907,459,9276
201909,151,9258
201910,465,9204
201909,3711,9141
201908,151,9136
202002,519,9093
201909,284,9090
201909,477,9068
201908,477,9050
201909,505,9038
201909,3002,8964
201909,168,8959
201908,3002,8930
201909,3435,8918
201908,490,8895
201906,459,8882
201910,3641,8873
201909,465,8863
201906,168,8859
201910,505,8858
201910,499,8842
201910,477,8827
201908,505,8807
201910,379,8802
201909,491,8798
201910,426,8779
201909,379,8775
201909,3263,8757
201909,523,8746
201908,168,8667
201909,504,8639
201910,459,8611
201908,3711,8538
201909,359,8508
201908,368,8493
201911,435,8480
201910,359,8465
201908,3641,8456
201910,293,8455
201906,3002,8453
201910,523,8362
201908,3435,8354
201906,368,8352
201907,505,8339
201908,523,8333
201910,3711,8320
201908,284,8281
201907,490,8272
201907,477,8256
201909,327,8252
201909,3664,8245
201911,497,8176
201909,525,8170
201911,3255,8166
201907,3002,8139
201906,379,8090
201909,458,8084
201909,116,8077
201910,514,8049
201910,491,8043
201907,368,8027
201907,491,8026
201910,468,8026
201907,3711,8024
201909,405,8023
201907,523,8018
201908,359,7938
201909,128,7927
202005,514,7924
201908,504,7918
201909,468,7917
201909,482,7905
201908,379,7895
201907,382,7873
201908,465,7862
201908,327,7860
201910,3812,7857
201909,229,7850
201907,492,7846
201907,293,7840
201906,293,7793
201910,284,7781
201908,3664,7754
201908,3263,7741
201907,465,7728
201909,446,7710
