bike_id,avg_miles,total_aprox_miles,no_trips
14529,1.7192296923076923,111.74993,65
14530,1.2199839766081871,417.23452,342
14531,1.4890754545454545,196.55796,132
14533,1.2535827272727273,358.52466,286
14534,1.2549338978494624,466.83541,372
14535,1.3989387391304348,321.75591,230
14536,1.2447351603498542,426.94416,343
14537,1.2939199690402477,417.93615,323
14539,1.3852400000000000,174.54024,126
14540,1.2185083852691218,430.13346,353
14541,0.79467333333333333333,4.76804,6
14544,1.0974395876288660,106.45164,97
14545,1.3662639002932551,465.89599,341
14547,1.3957352365930599,442.44807,317
14548,1.3008778181818182,71.54828,55
14549,1.3402685972850679,296.19936,221
14550,1.2350697543859649,351.99488,285
14551,1.1885210000000000,344.67109,290
14553,1.3878330532212885,495.45640,357
14555,1.2881069435215947,387.72019,301
14556,1.3705087596899225,530.38689,387
14558,1.3277489211618257,319.98749,241
14559,1.3851350000000000,8.31081,6
14562,1.2326579323308271,327.88701,266
14563,1.0820567525773196,209.91901,194
14568,1.2267477809798271,425.68148,347
14570,1.3797729343629344,357.36119,259
14572,1.0933522360248447,176.02971,161
14573,1.3365794466403162,338.15460,253
14574,1.2280637951807229,407.71718,332
14575,1.2393182625482625,320.98343,259
14576,1.2938745400593472,436.03572,337
14577,1.2382093036211699,444.51714,359
14578,1.2077804910714286,270.54283,224
14580,1.4449109195402299,125.70725,87
14581,1.2495398918918919,462.32976,370
14582,1.3845747413793103,321.22134,232
14583,1.2880434033613445,306.55433,238
14584,1.3771418552036199,304.34835,221
14585,1.3898739058823529,590.69641,425
14586,1.2237703864734300,253.32047,207
14587,1.3136203669724771,429.55386,327
14588,1.1763451538461538,305.84974,260
14589,1.4221538759689922,183.45785,129
14590,1.3414306666666667,261.57898,195
14591,1.1837300409836066,288.83013,244
14592,1.3361681873111782,442.27167,331
14594,1.3586745583038869,384.50490,283
14595,1.2305695986622074,367.94031,299
14597,1.3064514385964912,372.33866,285
14598,1.2283986338797814,449.59390,366
14599,1.2281427074235808,281.24468,229
14600,1.3181609859154930,467.94715,355
14601,1.2761058258258258,424.94324,333
14602,1.4050427807486631,262.74300,187
14603,1.2685745084745763,374.22948,295
14607,1.3132720408163265,321.75165,245
14608,1.4439162857142857,404.29656,280
14611,1.1839430827067669,314.92886,266
14612,1.2835211357340720,463.35113,361
14613,1.1677877566539924,307.12818,263
14615,1.2786316393442623,311.98612,244
14617,1.2729507526881720,473.53768,372
14618,1.1876831226765799,319.48676,269
14620,1.1495190384615385,358.64994,312
14622,1.2563475000000000,507.56439,404
14625,1.1923667021276596,336.24741,282
14626,1.3134994134897361,447.90330,341
14627,1.4383504494382022,512.05276,356
14629,1.3194231609195402,229.57963,174
14630,1.3059271612903226,404.83742,310
14631,1.4150803254437870,478.29715,338
14632,1.2334297941176471,419.36613,340
14633,1.3213573544973545,499.47308,378
14634,1.2841994696969697,339.02866,264
14635,1.3773864757709251,312.66673,227
14636,1.2001158695652174,276.02665,230
14639,1.2361887133182844,547.63160,443
14640,1.3350728445747801,455.25984,341
14644,0.96115608391608391608,137.44532,143
14645,1.2768510344827586,74.05736,58
14646,1.3133890035587189,369.06231,281
14647,1.2543527096774194,194.42467,155
14648,1.3016917857142857,328.02633,252
14649,1.1868759024390244,243.30956,205
14650,1.0298350531914894,387.21798,376
14652,1.1729469155844156,361.26765,308
14653,0.90033600000000000000,4.50168,5
14654,1.2609383620689655,146.26885,116
14655,1.3603591428571429,333.28799,245
14656,1.3555268879668050,326.68198,241
14657,1.3290193975903614,551.54305,415
14658,1.2469954925373134,417.74349,335
14660,1.7199940540540541,63.63978,37
14661,1.2221570344827586,531.63831,435
14663,1.2253965642458101,438.69197,358
14664,1.3743594552529183,353.21038,257
14665,1.2286772251308901,234.67735,191
14666,1.2634775087719298,360.09109,285
14668,1.3035105865921788,466.65679,358
14670,1.1719001685393258,417.19646,356
14671,1.2433742857142857,322.03394,259
14673,1.2494815492957746,354.85276,284
14675,1.2252509356725146,419.03582,342
14676,1.1141436809815951,181.60542,163
14677,1.2038421611721612,328.64891,273
14683,1.4261330312500000,456.36257,320
14684,1.1806096065573770,360.08593,305
14686,1.5762442622950820,288.45270,183
14687,1.1672145272206304,407.35787,349
14688,1.2900836335403727,415.40693,322
14689,1.2886586617100372,346.64918,269
14691,1.3308961764705882,181.00188,136
14693,1.3636762209302326,469.10462,344
14694,1.3465698873239437,478.03231,355
14695,1.3430744236760125,431.12689,321
14696,1.1418389130434783,262.62295,230
14697,1.2940278425655977,443.85155,343
14698,1.1500976953125000,294.42501,256
14702,1.0767614356435644,217.50581,202
14705,1.2978037500000000,124.58916,96
14706,1.4880243809523810,156.24256,105
14707,1.1416363492063492,431.53854,378
14708,1.2774905278592375,435.62427,341
14709,1.3568703600000000,339.21759,250
14710,1.4131697435897436,440.90896,312
14714,1.3737428104575163,210.18265,153
14715,1.1531165957446809,54.19648,47
14716,1.1560429241877256,320.22389,277
14717,1.2230324878048780,250.72166,205
14718,1.2976644318181818,342.58341,264
14719,1.3209168663594470,286.63896,217
14720,1.1504448863636364,101.23915,88
14721,0.90222161290322580645,55.93774,62
14722,1.1586120571428571,202.75711,175
14725,1.2474256593406593,454.06294,364
14726,1.2739095338983051,300.64265,236
14727,1.3781683695652174,253.58298,184
14728,1.4346112408759124,196.54174,137
14729,1.2305001328903654,370.38054,301
14730,1.3285454780361757,514.14710,387
14731,1.1489777247191011,409.03607,356
14732,1.3950110909090909,460.35366,330
14733,1.3905795667870036,385.19054,277
14734,1.3822936057692308,287.51707,208
14736,1.2350163636363636,380.38504,308
14737,1.3602200000000000,474.71678,349
14738,1.2520176097560976,256.66361,205
14740,1.2673529441624365,249.66853,197
14742,1.4187193557422969,506.48281,357
14759,1.1579060703812317,394.84597,341
14760,1.4012042307692308,291.45048,208
14762,1.4059780349344978,321.96897,229
14763,1.2567967096774194,194.80349,155
14764,1.5449336792452830,327.52594,212
14765,1.4103960606060606,232.71535,165
14766,1.2528541037735849,265.60507,212
14767,1.4264910763888889,410.82943,288
14768,1.2851130357142857,71.96633,56
14769,1.3664451094890511,374.40596,274
14771,1.1182420895522388,374.61110,335
14772,1.1952218972332016,302.39114,253
14773,1.1875490506329114,375.26550,316
14774,0.93760270967741935484,145.32842,155
14775,1.3069358974358974,203.88200,156
14776,1.5024615040650407,369.60553,246
14778,1.5194129032258065,188.40720,124
14780,1.1754495031055901,378.49474,322
14781,1.2034703040540541,356.22721,296
14782,1.2806056708860759,505.83924,395
14783,1.2431004509283820,468.64887,377
14785,1.2776679500000000,255.53359,200
14786,1.2792122360248447,411.90634,322
14788,1.2131676791808874,355.45813,293
14790,1.4578057563025210,346.95777,238
14792,1.2723234713375796,399.50957,314
14793,1.2547028625954198,328.73215,262
14795,1.3212840053763441,491.51765,372
14797,1.3793686111111111,49.65727,36
14798,1.3338241504854369,549.53555,412
14799,1.3565808133971292,567.05078,418
14802,1.3113534899328859,390.78334,298
14804,1.1950070694864048,395.54734,331
14805,1.2414152009456265,525.11863,423
14806,1.2759602222222222,229.67284,180
14807,1.0194341011235955,181.45927,178
14808,1.2719589600000000,317.98974,250
14809,1.3696996498054475,352.01281,257
14811,1.2633512589928058,351.21165,278
14814,1.2307657278481013,388.92197,316
14815,1.4132861006289308,449.42498,318
14816,1.2234309489051095,335.22008,274
14817,1.2557950903614458,416.92397,332
14819,0.99285292817679558011,179.70638,181
14821,1.2302900539083558,456.43761,371
14823,1.3098985582822086,427.02693,326
14824,1.5036075428571429,263.13132,175
14826,1.2190405490196078,310.85534,255
14827,1.2924793902439024,423.93324,328
14828,1.3718077600000000,514.42791,375
14831,1.4249732394366197,303.51930,213
14832,1.3159244481605351,393.46141,299
14833,1.2200868421052632,324.54310,266
14835,1.2274558156028369,346.14254,282
14838,1.2937771259842520,328.61939,254
14839,1.2682155696202532,300.56709,237
14841,1.3120805527638191,261.10403,199
14842,1.2461744444444444,201.88026,162
14843,1.2297247337278107,207.82348,169
14849,1.2200383109919571,455.07429,373
14851,1.1687932954545455,205.70762,176
14852,1.2559157489878543,310.21119,247
14853,1.2687192768079800,508.75643,401
14854,1.2608154391891892,373.20137,296
14855,1.3946265902578797,486.72468,349
14856,1.2313134883720930,105.89296,86
14857,1.2430407968127490,312.00324,251
14858,1.2001266081871345,410.44330,342
14860,1.2590756333333333,377.72269,300
14861,1.4558291031390135,324.64989,223
14862,1.2216545161290323,378.71290,310
14863,1.1932305937500000,381.83379,320
14865,1.3529099328859060,403.16716,298
14866,1.3257953150684932,483.91529,365
14868,1.3497250825082508,408.96670,303
14869,1.2495949441340782,447.35499,358
14870,1.1844990336134454,281.91077,238
14872,1.2969798245614035,73.92785,57
14873,1.2323699418604651,423.93526,344
14876,1.2482624014336918,348.26521,279
