period,station_id,starting_trips,ending_trips
201909,519,15833,15775
201910,519,15409,15481
201907,519,15325,15121
201908,519,15301,15369
201906,519,13911,13858
201909,285,13468,13868
201909,497,13163,13421
201909,3255,12788,12637
201908,497,12522,13133
201909,426,12350,14025
201910,3255,12186,12186
201909,435,12146,12134
201908,3255,11973,12014
201909,358,11711,11506
201908,426,11632,12281
201907,3255,11631,11472
201908,435,11619,11655
201910,435,11456,11448
201906,426,11408,11938
201908,514,11390,11552
201906,514,11320,11220
201908,285,11268,11271
201909,514,11199,11427
201906,3255,11191,11102
201910,497,11129,11359
201907,497,11122,11421
201911,519,11099,11023
201909,402,11079,12247
201906,402,11029,11574
201908,358,10836,10674
201907,514,10787,11053
201907,426,10785,11365
201907,402,10774,11295
201909,499,10513,10170
202001,519,10403,9704
201907,358,10343,10122
201907,435,10300,10251
201908,402,10263,11591
201909,490,10258,10308
201909,459,10107,10145
201908,499,10067,9513
201908,491,9967,9679
201908,459,9954,10314
201910,402,9937,11512
201906,358,9931,9794
201906,499,9922,9428
201906,492,9857,9641
201909,293,9851,10678
201910,490,9699,9612
201908,293,9695,10091
201907,499,9596,8948
201906,497,9551,9571
201906,285,9543,9607
201910,285,9475,9758
201909,3641,9437,9160
201910,358,9364,9228
201907,285,9316,9328
201907,459,9276,9342
201909,151,9258,9276
201910,465,9204,9011
201909,3711,9141,8328
201908,151,9136,9363
202002,519,9093,8233
201909,284,9090,9064
201909,477,9068,9050
201908,477,9050,9061
201909,505,9038,9106
201909,3002,8964,8807
201909,168,8959,9083
201908,3002,8930,8939
201909,3435,8918,9019
201908,490,8895,8771
201906,459,8882,8903
201910,3641,8873,8354
201909,465,8863,8547
201906,168,8859,9047
201910,505,8858,8747
201910,499,8842,8439
201910,477,8827,8599
201908,505,8807,8759
201910,379,8802,8689
201909,491,8798,9160
201910,426,8779,10745
201909,379,8775,8796
201909,3263,8757,9138
201909,523,8746,8800
201908,168,8667,8793
201909,504,8639,8865
201910,459,8611,8704
201908,3711,8538,8001
201909,359,8508,8394
201908,368,8493,8629
201911,435,8480,8474
201910,359,8465,8520
201908,3641,8456,8200
201910,293,8455,9185
201906,3002,8453,8589
201910,523,8362,8276
201908,3435,8354,8453
